team,matchID,goals,shots,fouls,yellows,reds,match_outcome
Metz,METLIL,1,5,15,1,0,Loss
Clermont,CLEREI,4,12,9,0,0,Win
Lorient,LORTOU,1,15,14,1,0,Loss
Strasbourg,STRNIC,1,13,11,2,0,Loss
Rennes,RENBRE,4,21,14,4,0,Loss
Lyon,LYOMON,3,15,15,1,0,Win
Marseille,MARLEN,2,13,8,2,0,Win
Toulouse,TOUMON,1,15,17,3,1,Loss
Lens,LENLOR,2,18,10,1,0,Win
"Le Havre","LE STR",3,15,6,3,0,Win
Monaco,MONCLE,4,23,13,3,0,Win
Metz,METREN,2,7,15,2,1,Loss
Brest,BRENAN,0,9,6,3,0,Draw
Lille,LILLYO,3,8,14,3,0,Loss
Brest,BREREI,1,16,12,2,0,Draw
Nice,"NICLE ",1,13,10,2,0,Win
Clermont,CLELYO,0,18,8,1,0,Loss
Marseille,MARLOR,3,13,9,3,0,Win
Montpellier,MONMON,0,14,20,1,0,Loss
Nantes,NANLIL,1,9,17,4,0,Loss
"Paris SG",PARTOU,1,15,12,0,0,Loss
Rennes,RENLEN,1,16,12,2,0,Draw
Strasbourg,STRMET,2,10,10,2,0,Win
Nice,NICPAR,1,12,13,1,1,Loss
Reims,REIMAR,1,10,17,3,0,Win
"Le Havre","LE MAR",1,13,11,1,0,Loss
Lens,LENMON,2,27,10,0,0,Draw
Lille,LILNIC,2,12,9,3,1,Draw
Lorient,LORCLE,5,32,20,3,0,Win
Lyon,LYOSTR,2,15,7,1,0,Win
Metz,METPAR,0,10,6,2,0,Loss
Monaco,MONNAN,4,10,14,1,0,Win
Reims,REIREN,2,6,11,1,0,Win
Toulouse,TOUBRE,0,8,12,1,0,Loss
Lille,NICLIL,1,12,9,2,0,Draw
Reims,MARREI,1,11,16,3,0,Loss
Lorient,PARLOR,0,4,6,0,0,Draw
Lens,BRELEN,2,10,15,3,1,Loss
Monaco,CLEMON,4,14,16,4,0,Win
"Le Havre","MONLE ",2,12,12,2,0,Draw
Toulouse,NANTOU,2,9,14,2,0,Win
Metz,RENMET,1,9,10,2,0,Loss
Lyon,STRLYO,1,23,11,2,0,Loss
Marseille,METMAR,2,22,9,2,0,Draw
Montpellier,LYOMON,4,14,10,1,0,Win
"Paris SG",TOUPAR,1,16,11,3,0,Draw
Nantes,LILNAN,0,14,15,2,0,Loss
Brest,"LE BRE",2,10,15,2,0,Win
Nice,LORNIC,1,21,10,1,0,Draw
Clermont,REICLE,0,11,6,0,0,Loss
Strasbourg,MONSTR,0,4,16,1,0,Loss
Rennes,LENREN,1,10,10,1,0,Draw
Monaco,NANMON,3,27,7,2,0,Draw
